eps,min_samples,n_clusters,silhouette
1.0,1,16,0.16328792592861566
1.0,2,14,0.16517259669700654
1.0,3,11,0.17012723508758132
1.0,4,13,0.26376986884585163
1.0,5,10,0.2269850838691984
1.494949494949495,1,5,0.27476603513243597
1.494949494949495,2,4,0.27476603513243597
1.494949494949495,3,4,0.27476603513243597
1.494949494949495,4,5,0.3225014593247399
1.494949494949495,5,5,0.19023328743498152
1.98989898989899,1,2,0.5450909330710634
1.98989898989899,2,2,0.5450909330710634
1.98989898989899,3,2,0.5450909330710634
1.98989898989899,4,3,0.40147348302714314
1.98989898989899,5,3,0.3825263867497938
